Wavelength,x,y,z
380,0.000159952,0.0000174,0.000704776
390,0.0023616,0.0002534,0.0104822
400,0.0191097,0.0020044,0.0860109
410,0.084736,0.008756,0.389366
420,0.204492,0.021391,0.972542
430,0.314679,0.038676,1.55348
440,0.383734,0.062077,1.96728
450,0.370702,0.089456,1.9948
460,0.302273,0.128201,1.74537
470,0.195618,0.18519,1.31756
480,0.080507,0.253589,0.772125
490,0.016172,0.339133,0.415254
500,0.003816,0.460777,0.218502
510,0.037465,0.606741,0.112044
520,0.117749,0.761757,0.060709
530,0.236491,0.875211,0.030451
540,0.376772,0.961988,0.013676
550,0.529826,0.991761,0.003988
560,0.705224,0.99734,0
570,0.878655,0.955552,0
580,1.01416,0.868934,0
590,1.11852,0.777405,0
600,1.12399,0.658341,0
610,1.03048,0.527963,0
620,0.856297,0.398057,0
630,0.647467,0.283493,0
640,0.431567,0.179828,0
650,0.268329,0.107633,0
660,0.152568,0.060281,0
670,0.0812606,0.0318004,0
680,0.0408508,0.0159051,0
690,0.0199413,0.0077488,0
700,0.00957688,0.00371774,0
710,0.00455263,0.00176847,0
720,0.00217496,0.00084619,0
730,0.00104476,0.00040741,0
